Periodo;I;II;III;IV;Total
2013-1;495;1.735;1.473;5.725;9.428
2013-2;775;4.910;1.556;5.656;12.897
2013-3;727;3.354;1.569;5.753;11.402
2013-4;527;1.786;1.567;5.962;9.843
2014-1;638;2.049;1.478;5.890;10.055
2014-2;966;5.800;1.558;5.767;14.090
2014-3;916;3.961;1.571;5.857;12.305
2014-4;679;2.109;1.568;6.084;10.440
2015-1;768;2.362;1.734;6.485;11.349
2015-2;1.142;6.685;1.835;6.720;16.383
2015-3;1.075;4.566;1.847;6.596;14.083
2015-4;797;2.431;1.850;6.617;11.695
2016-1;793;2.188;1.812;6.501;11.293
2016-2;1.132;6.193;1.916;6.361;15.602
2016-3;1.075;4.230;1.928;6.462;13.695
2016-4;817;2.252;1.933;6.714;11.716
2017-1;854;2.121;2.054;7.097;12.126
2017-2;1.155;6.003;2.174;6.951;16.282
2017-3;1.100;4.100;2.195;7.068;14.463
2017-4;872;2.183;2.191;7.332;12.579
2018-1;958;2.570;2.227;7.672;13.427
2018-2;1.297;6.695;2.358;7.134;17.484
2018-3;1.231;4.485;2.378;7.376;15.471
2018-4;996;2.353;2.378;8.103;13.830
2019-1;1.056;3.060;2.228;8.018;14.362
2019-2;1.379;7.401;2.526;7.330;18.637
2019-3;1.177;5.055;2.209;6.986;15.428
2019-4;948;2.799;2.290;8.100;14.136
2020-1;1.089;3.571;2.425;8.489;15.575
