Ano;Pais;Regiao;UF;CodUF;PIB;rank_br;rank_ne;particip_br;particip_ne;indice;tx
2002;Brasil;Centro Oeste;Distrito Federal;53;53902;8;;3,6;;100;
2002;Brasil;Centro Oeste;Goiás;52;38629;9;;2,6;;100;
2002;Brasil;Centro Oeste;Mato Grosso ;51;19191;15;;1,3;;100;
2002;Brasil;Centro Oeste;Mato Grosso do Sul;50;16440;16;;1,1;;100;
2002;Brasil;Nordeste;Alagoas;27;11537;20;7;0,8;5,9;100;
2002;Brasil;Nordeste;Bahia;29;58843;6;1;4;30,2;100;
2002;Brasil;Nordeste;Ceará;23;28719;11;3;1,9;14,7;100;
2002;Brasil;Nordeste;Maranhão;21;15924;17;4;1,1;8,2;100;
2002;Brasil;Nordeste;Paraíba;25;12747;19;6;0,9;6,5;100;
2002;Brasil;Nordeste;Pernambuco;26;36056;10;2;2,4;18,5;100;
2002;Brasil;Nordeste;Piauí;22;7123;23;9;0,5;3,7;100;
2002;Brasil;Nordeste;Rio Grande do Norte;24;13567;18;5;0,9;7;100;
2002;Brasil;Nordeste;Sergipe;28;10332;21;8;0,7;5,3;100;
2002;Brasil;Norte;Acre;12;2971;26;;0,2;;100;
2002;Brasil;Norte;Amapá;16;3173;25;;0,2;;100;
2002;Brasil;Norte;Amazonas;13;22093;14;;1,5;;100;
2002;Brasil;Norte;Pará;15;26482;13;;1,8;;100;
2002;Brasil;Norte;Rondônia;11;7468;22;;0,5;;100;
2002;Brasil;Norte;Roraima;14;2392;27;;0,2;;100;
2002;Brasil;Norte;Tocantins;17;5323;24;;0,4;;100;
2002;Brasil;Sudeste;Espírito Santo;32;27049;12;;1,8;;100;
2002;Brasil;Sudeste;Minas Gerais;31;124071;3;;8,3;;100;
2002;Brasil;Sudeste;Rio de Janeiro;33;184311;2;;12,4;;100;
2002;Brasil;Sudeste;São Paulo;35;518879;1;;34,9;;100;
2002;Brasil;Sul;Paraná;41;88236;5;;5,9;;100;
2002;Brasil;Sul;Rio Grande do Sul;43;98847;4;;6,6;;100;
2002;Brasil;Sul;Santa Catarina;42;54482;7;;3,7;;100;
2003;Brasil;Centro Oeste;Distrito Federal;53;58456;8;;3,4;;100,7;0,7
2003;Brasil;Centro Oeste;Goiás;52;45558;9;;2,7;;104,7;4,7
2003;Brasil;Centro Oeste;Mato Grosso ;51;26697;14;;1,6;;105,2;5,2
2003;Brasil;Centro Oeste;Mato Grosso do Sul;50;21847;16;;1,3;;106,5;6,5
2003;Brasil;Nordeste;Alagoas;27;12624;20;;0,7;5,7;98,9;-1,1
2003;Brasil;Nordeste;Bahia;29;67174;6;;3,9;30,5;102,3;2,3
2003;Brasil;Nordeste;Ceará;23;32687;11;;1,9;14,8;101,3;1,3
2003;Brasil;Nordeste;Maranhão;21;19503;17;;1,1;8,8;105;5
2003;Brasil;Nordeste;Paraíba;25;14738;19;;0,9;6,7;105,2;5,2
2003;Brasil;Nordeste;Pernambuco;26;38816;10;;2,3;17,6;97,3;-2,7
2003;Brasil;Nordeste;Piauí;22;8415;23;;0,5;3,8;105,7;5,7
2003;Brasil;Nordeste;Rio Grande do Norte;24;14865;18;;0,9;6,7;102,4;2,4
2003;Brasil;Nordeste;Sergipe;28;11750;21;;0,7;5,3;102,6;2,6
2003;Brasil;Norte;Acre;12;3377;26;;0,2;;102,1;2,1
2003;Brasil;Norte;Amapá;16;3413;25;;0,2;;107,9;7,9
2003;Brasil;Norte;Amazonas;13;25862;15;;1,5;;105;5
2003;Brasil;Norte;Pará;15;30270;13;;1,8;;107,1;7,1
2003;Brasil;Norte;Rondônia;11;9425;22;;0,5;;103,3;3,3
2003;Brasil;Norte;Roraima;14;2594;27;;0,2;;101,9;1,9
2003;Brasil;Norte;Tocantins;17;6612;24;;0,4;;109,3;9,3
2003;Brasil;Sudeste;Espírito Santo;32;31519;12;;1,8;;102,9;2,9
2003;Brasil;Sudeste;Minas Gerais;31;144189;3;;8,4;;102,1;2,1
2003;Brasil;Sudeste;Rio de Janeiro;33;202641;2;;11,8;;99;-1
2003;Brasil;Sudeste;São Paulo;35;591454;1;;34,4;;99,5;-0,5
2003;Brasil;Sul;Paraná;41;110039;5;;6,4;;104;4
2003;Brasil;Sul;Rio Grande do Sul;43;119325;4;;6,9;;102;2
2003;Brasil;Sul;Santa Catarina;42;64098;7;;3,7;;102,1;2,1
2004;Brasil;Centro Oeste;Distrito Federal;53;67077;8;;3,4;;105,7;5
2004;Brasil;Centro Oeste;Goiás;52;51104;9;;2,6;;111,6;6,7
2004;Brasil;Centro Oeste;Mato Grosso ;51;33389;14;;1,7;;120,7;14,8
2004;Brasil;Centro Oeste;Mato Grosso do Sul;50;23372;16;;1,2;;105,7;-0,8
2004;Brasil;Nordeste;Alagoas;27;14045;20;;0,7;5,4;104,8;6
2004;Brasil;Nordeste;Bahia;29;77932;6;;4;29,8;112;9,4
2004;Brasil;Nordeste;Ceará;23;36891;13;;1,9;14,1;106,5;5,2
2004;Brasil;Nordeste;Maranhão;21;22127;17;;1,1;8,5;112,6;7,2
2004;Brasil;Nordeste;Paraíba;25;15758;19;;0,8;6;108,9;3,5
2004;Brasil;Nordeste;Pernambuco;26;44983;10;;2,3;17,2;102,3;5,1
2004;Brasil;Nordeste;Piauí;22;9406;23;;0,5;3,6;113,8;7,7
2004;Brasil;Nordeste;Rio Grande do Norte;24;17252;18;;0,9;6,6;106,6;4,1
2004;Brasil;Nordeste;Sergipe;28;13336;21;;0,7;5,1;109,2;6,5
2004;Brasil;Norte;Acre;12;3784;26;;0,2;;115,9;13,5
2004;Brasil;Norte;Amapá;16;3825;25;;0,2;;114,9;6,5
2004;Brasil;Norte;Amazonas;13;31091;15;;1,6;;116,1;10,6
2004;Brasil;Norte;Pará;15;37273;12;;1,9;;116,1;8,4
2004;Brasil;Norte;Rondônia;11;11005;22;;0,6;;117;13,3
2004;Brasil;Norte;Roraima;14;2823;27;;0,1;;108,7;6,7
2004;Brasil;Norte;Tocantins;17;7252;24;;0,4;;117,7;7,7
2004;Brasil;Sudeste;Espírito Santo;32;39733;11;;2;;107,3;4,3
2004;Brasil;Sudeste;Minas Gerais;31;171871;3;;8,8;;108,1;5,9
2004;Brasil;Sudeste;Rio de Janeiro;33;241207;2;;12,3;;101,7;2,7
2004;Brasil;Sudeste;São Paulo;35;652956;1;;33,4;;105,7;6,2
2004;Brasil;Sul;Paraná;41;123452;5;;6,3;;109,5;5,4
2004;Brasil;Sul;Rio Grande do Sul;43;131192;4;;6,7;;105,4;3,3
2004;Brasil;Sul;Santa Catarina;42;73619;7;;3,8;;109,7;7,5
2005;Brasil;Centro Oeste;Distrito Federal;53;75733;8;;3,5;;111,8;5,8
2005;Brasil;Centro Oeste;Goiás;52;53865;9;;2,5;;115,6;3,5
2005;Brasil;Centro Oeste;Mato Grosso ;51;34257;14;;1,6;;126,3;4,6
2005;Brasil;Centro Oeste;Mato Grosso do Sul;50;23725;17;;1,1;;108,4;2,6
2005;Brasil;Nordeste;Alagoas;27;15485;20;;0,7;5,3;108,5;3,6
2005;Brasil;Nordeste;Bahia;29;88292;6;;4,1;30,2;116,6;4,1
2005;Brasil;Nordeste;Ceará;23;41059;12;;1,9;14,1;109,2;2,5
2005;Brasil;Nordeste;Maranhão;21;25104;16;;1,2;8,6;119,2;5,9
2005;Brasil;Nordeste;Paraíba;25;17557;19;;0,8;6;111,8;2,7
2005;Brasil;Nordeste;Pernambuco;26;50240;10;;2,3;17,2;106,7;4,3
2005;Brasil;Nordeste;Piauí;22;10712;23;;0,5;3,7;118,3;3,9
2005;Brasil;Nordeste;Rio Grande do Norte;24;19967;18;;0,9;6,8;109,1;2,4
2005;Brasil;Nordeste;Sergipe;28;14430;21;;0,7;4,9;113,9;4,3
2005;Brasil;Norte;Acre;12;4301;26;;0,2;;119;2,7
2005;Brasil;Norte;Amapá;16;4306;25;;0,2;;122,1;6,3
2005;Brasil;Norte;Amazonas;13;33981;15;;1,6;;126,5;9
2005;Brasil;Norte;Pará;15;40523;13;;1,9;;121;4,2
2005;Brasil;Norte;Rondônia;11;12512;22;;0,6;;118,6;1,4
2005;Brasil;Norte;Roraima;14;3193;27;;0,1;;116,7;7,3
2005;Brasil;Norte;Tocantins;17;7707;24;;0,4;;122,6;4,2
2005;Brasil;Sudeste;Espírito Santo;32;47021;11;;2,2;;111,1;3,5
2005;Brasil;Sudeste;Minas Gerais;31;188364;3;;8,7;;112,5;4
2005;Brasil;Sudeste;Rio de Janeiro;33;269830;2;;12,4;;104,5;2,8
2005;Brasil;Sudeste;São Paulo;35;743043;1;;34,2;;109,9;4
2005;Brasil;Sul;Paraná;41;127465;5;;5,9;;110,2;0,6
2005;Brasil;Sul;Rio Grande do Sul;43;136363;4;;6,3;;102,5;-2,7
2005;Brasil;Sul;Santa Catarina;42;81549;7;;3,8;;111,9;2
2006;Brasil;Centro Oeste;Distrito Federal;53;84661;8;;3,5;;117,9;5,5
2006;Brasil;Centro Oeste;Goiás;52;61375;9;;2,5;;119,1;3,1
2006;Brasil;Centro Oeste;Mato Grosso ;51;30700;15;;1,3;;123,8;-2
2006;Brasil;Centro Oeste;Mato Grosso do Sul;50;26668;17;;1,1;;114,6;5,7
2006;Brasil;Nordeste;Alagoas;27;17396;20;;0,7;5,3;111,6;2,8
2006;Brasil;Nordeste;Bahia;29;95348;6;;4;29,1;120,1;3
2006;Brasil;Nordeste;Ceará;23;46500;12;;1,9;14,2;118,1;8,2
2006;Brasil;Nordeste;Maranhão;21;29711;16;;1,2;9,1;123,5;3,6
