ANO;cd_geocmu;TERRITORIO_IDENTIDADE; MUNICIPIO ; VA_AGRO ;VA_IND;VA_SER;VA_APU;PIB;PIB_PERCAPITA;AGRICULTURA;INDÚSTRIA;SERVIÇOS; POP_ESTIMADA ;IDEM;pib_percentual;PERCENTUAL_AGRO_BA;PERCENTUAL_IND_BA;PERCENTUAL_SERV_BA
2002;2900108;Chapada Diamantina;Abaíra;10,11;1,12;10,81;6,38;22,65;2480,19;0,46;0,05;0,49;9133;100;0,04;0;0;0
2002;2900207;Itaparica;Abaré;3,75;2,44;15,7;11,05;22,88;1621,45;0,17;0,11;0,72;14111;100;0,04;0;0;0
2002;2900306;Litoral Norte e Agreste Baiano;Acajutiba;13,74;1,3;19,14;11,27;35,36;2418,51;0,4;0,04;0,56;14622;100;0,06;0;0;0
2002;2900355;Semiárido Nordeste II;Adustina;38,28;2,57;17,82;9,49;60,05;4162,63;0,65;0,04;0,3;14426;100;0,1;0,01;0;0
2002;2900405;Portal do Sertão;Água Fria;3,75;0,89;15,36;11,54;20,79;1401,31;0,19;0,04;0,77;14839;100;0,04;0;0;0
2002;2900603;Médio Rio de Contas;Aiquara;6,92;0,56;6,33;4,26;14,11;2797,94;0,5;0,04;0,46;5042;100;0,02;0;0;0
2002;2900702;Litoral Norte e Agreste Baiano;Alagoinhas;30,31;134,85;325,86;100,83;674,12;5073,42;0,06;0,27;0,66;132873;100;1,15;0;0,01;0,01
2002;2900801;Extremo Sul;Alcobaça;112,31;3,05;40,05;20,17;159,62;7290,66;0,72;0,02;0,26;21894;100;0,27;0,02;0;0
2002;2900900;Litoral Sul;Almadina;7,22;0,55;8,66;5,9;16,83;2270,58;0,44;0,03;0,53;7411;100;0,03;0;0;0
2002;2901007;Vale do Jiquiriçá;Amargosa;15,03;5,53;49,71;22,51;75,81;2387,4;0,21;0,08;0,71;31756;100;0,13;0;0;0
2002;2901106;Portal do Sertão;Amélia Rodrigues;8,9;8,44;37,66;17,88;62,5;2559,6;0,16;0,15;0,68;24419;100;0,11;0;0;0
2002;2901155;Irecê;América Dourada;15,04;1,68;18,26;12,01;35,99;2255,37;0,43;0,05;0,52;15958;100;0,06;0;0;0
2002;2901205;Sudoeste Baiano;Anagé;8,41;1,07;28,75;20,49;39,59;1372,08;0,22;0,03;0,75;28854;100;0,07;0;0;0
2002;2901304;Chapada Diamantina;Andaraí;3,46;0,75;17,39;10,73;22,6;1637,76;0,16;0,03;0,81;13800;100;0,04;0;0;0
2002;2901353;Piemonte Norte do Itapicuru;Andorinha;1,86;16,75;20,2;11,99;94,56;6108,7;0,05;0,43;0,52;15480;100;0,16;0;0;0
2002;2901403;Bacia do Rio Grande;Angical;23,59;1,78;16,89;9,94;43,04;2985,17;0,56;0,04;0,4;14417;100;0,07;0;0;0
2002;2901502;Portal do Sertão;Anguera;1,7;0,35;10,24;6,79;12,88;1424,97;0,14;0,03;0,83;9039;100;0,02;0;0;0
2002;2901601;Semiárido Nordeste II;Antas;5,73;1,13;15,38;9,37;23,17;1726,92;0,26;0,05;0,69;13418;100;0,04;0;0;0
2002;2901700;Portal do Sertão;Antônio Cardoso;2,33;0,63;15,66;9,75;20,53;1757,69;0,13;0,03;0,84;11681;100;0,03;0;0;0
2002;2901809;Piemonte Norte do Itapicuru;Antônio Gonçalves;2,14;0,67;11,11;6,95;14,72;1672,82;0,15;0,05;0,8;8797;100;0,03;0;0;0
2002;2901908;Litoral Norte e Agreste Baiano;Aporá;5,34;1,87;17,28;12,4;25,39;1494,86;0,22;0,08;0,71;16985;100;0,04;0;0;0
2002;2901957;Médio Rio de Contas;Apuarema;7,55;0,71;10,28;6,48;19,64;2702,23;0,41;0,04;0,55;7268;100;0,03;0;0;0
2002;2902054;Litoral Norte e Agreste Baiano;Araças;2,39;54,98;25,53;8,76;85,36;7447,26;0,03;0,66;0,31;11462;100;0,15;0;0;0
2002;2902005;Sudoeste Baiano;Aracatu;3,76;0,83;15,64;11,46;20,92;1349,82;0,19;0,04;0,77;15497;100;0,04;0;0;0
2002;2902104;Sisal;Araci;19,82;8,95;52,72;35;87,98;1830,83;0,24;0,11;0,65;48056;100;0,15;0;0;0
2002;2902203;Litoral Norte e Agreste Baiano;Aramari;3,49;1,01;10,26;6,75;15,29;1592,66;0,24;0,07;0,7;9599;100;0,03;0;0;0
2002;2902252;Litoral Sul;Arataca;7,76;0,93;12,6;8,58;21,97;2049,53;0,36;0,04;0,59;10718;100;0,04;0;0;0
2002;2902302;Baixo Sul;Aratuípe;11,22;1,12;9,9;6,35;22,71;2671,24;0,5;0,05;0,45;8501;100;0,04;0;0;0
2002;2902401;Litoral Sul;Aurelino Leal;9,42;0,97;18,78;13,07;30,37;1740,79;0,32;0,03;0,64;17446;100;0,05;0;0;0
2002;2902500;Bacia do Rio Grande;Baianópolis;22,75;1,67;14,99;8,73;40,26;3402,73;0,58;0,04;0,38;11833;100;0,07;0;0;0
2002;2902609;Bacia do Jacuípe;Baixa Grande;4,8;1,06;21,85;14,61;28,73;1422,94;0,17;0,04;0,79;20190;100;0,05;0;0;0
2002;2902658;Semiárido Nordeste II;Banzaê;2,34;0,65;13,19;9,23;16,78;1513,92;0,14;0,04;0,82;11086;100;0,03;0;0;0
2002;2902708;Velho Chico;Barra;14,84;2,55;49,52;33,75;69,33;1536,23;0,22;0,04;0,74;45128;100;0,12;0;0;0
2002;2902807;Chapada Diamantina;Barra da Estiva;7,56;1,16;26,6;16,86;36,98;1424,76;0,21;0,03;0,75;25954;100;0,06;0;0;0
2002;2902906;Sudoeste Baiano;Barra do Choça;40,09;5,46;47,17;31,21;95,35;2158,2;0,43;0,06;0,51;44179;100;0,16;0,01;0;0
2002;2903003;Irecê;Barra do Mendes;4,8;0,77;17,67;10,57;24,05;1383,53;0,21;0,03;0,76;17380;100;0,04;0;0;0
2002;2903102;Médio Rio de Contas;Barra do Rocha;5,28;0,73;9,8;6,75;16,18;2091,84;0,33;0,05;0,62;7734;100;0,03;0;0;0
2002;2903201;Bacia do Rio Grande;Barreiras;223,86;105,43;406,48;90,61;824,28;6850,64;0,3;0,14;0,55;120321;100;1,4;0,03;0,01;0,01
2002;2903235;Irecê;Barro Alto;10,82;1;13,79;9,22;26,19;2163,62;0,42;0,04;0,54;12106;100;0,04;0;0;0
