Ano;Agropecuária;Indústria extrativa;Indústrias de transformação;Eletricidade, gás e água;Construção;Comércio;Transporte, armazenagem e correio;Serviços de alojamento e alimentação;Serviços de informação e comunicação;Atividades financeiras;Atividades imobiliárias;Atividades profissionais;Administração pública;Educação e saúde mercantis;Outros serviços
2002;13,0998726;2,209617439;9,644728953;4,266062583;7,352583892;8,362245152;3,456070085;2,67486637;2,950330027;4,002074695;10,57815491;4,810283943;19,2016015;3,906430709;3,485077138
2003;13,15561977;2,399008734;11,98081901;4,625312633;5,222706321;10,21336252;3,20404023;2,077344573;3,134954554;3,088667222;10,07567338;5,323592886;18,67269061;3,789980249;3,036227308
2004;13,10020785;2,934212078;11,89111047;4,63138826;6,404871571;10,54854878;3,225498514;2,049906049;2,882161083;2,870375769;9,546866384;5,507594092;17,68206674;3,623821331;3,101371025
2005;10,32062476;2,947225487;13,71343909;4,591427375;5,461080146;10,88979726;3,481957958;3,227071783;2,852682526;2,948438159;9,175655886;5,457643542;18,70978314;2,926928682;3,29624422
2006;9,864269995;3,371532087;11,74375695;4,311224356;6,210340029;11,12650556;3,62646642;2,358457763;2,886263439;2,979591593;9,114651644;5,654053678;19,84237276;3,204455529;3,706058191
2007;10,45477135;3,109961532;10,87046414;4,214456851;5,631660259;12,80284709;3,787282593;2,508436757;2,665234469;2,877054963;8,719688676;6,984901916;18,92657921;3,008459875;3,438200314
2008;9,795080743;3,6778705;10,54273966;4,289676539;6,190636842;13,38422212;4,411424266;2,155375406;2,450063975;2,595485402;9,206569853;5,774654138;19,17913933;2,894160096;3,452901128
2009;8,755210969;1,78250246;13,27960723;3,160325715;6,771789685;13,80015182;4,106793233;3,318879457;2,152822332;2,754203171;8,901949731;5,781649801;19,18213084;2,770636555;3,48134701
2010;7,90853571;2,752610702;12,5879521;3,715424424;8,075344932;13,12893566;4,337957949;2,567365263;1,985712102;2,980470331;8,70041767;6,40348545;19,02747333;2,708465337;3,119849045
2011;8,156564419;2,99482267;8,875059067;3,548409547;8,34780435;13,48155315;4,856212249;3,213732712;1,909221846;2,928929273;9,016722142;6,829673505;19,94140697;2,84061397;3,05927413
2012;8,022309;3,884248202;6,636741274;3,396333315;8,143400353;13,24983305;4,826876569;2,862921421;1,804017764;3,145153972;10,64311041;6,791530447;20,11685397;3,213725709;3,262944548
2013;7,349925335;3,085212204;7,255942795;1,673726931;8,444559422;14,25781412;5,001481639;3,197217023;1,824826838;2,970885529;10,23769511;6,856426418;20,50581719;4,014848892;3,323620543
2014;7,891828546;1,876730882;8,136661059;2,511257401;8,445152724;13,45939061;4,717809558;3,258176082;1,650831269;3,26405636;10,22799475;7,109205044;20,50772686;3,788320763;3,154858092
2015;8,266470412;1,179778887;11,33190539;2,288958025;7,31574325;12,43420893;5,045671104;2,980173905;1,602991261;3,46811147;10,240011;6,092765001;20,51302695;4,160215166;3,079969244
2016;7,241211462;0,556076253;13,80111331;2,874955748;6,46565299;12,43573462;3,841228441;2,914583867;1,477877077;3,806900095;10,30630833;6,105340365;20,3902776;4,77709492;3,00564491
2017;6,704172213;0,874447717;12,63263538;3,363423088;5,573370792;12,73465338;4,467672172;3,28564772;1,537802282;3,746364042;10,37712233;6,091909581;20,83502293;4,75753485;3,018221518
2018;7,228419408;1,085470203;13,61865047;4,045354864;5,202553978;12,1021252;4,107366936;3,306349833;1,381982151;3,183607329;10,29454366;6,077889539;20,50124725;4,932559443;2,931879742
